Kharkiv2,1726638022150,6,630,580,710,188,242,202,17,13,17,12,2,15,75931,30959,50579,40990,57933,76114,80546,32009,56142,45486,63561,80612,Супрун Олександр Євгенович,380850587417,oleksandr.suprun@your.mail.com,Nova,Ужгород,343,1
Kharkiv4,1726638424569,6,763,265,778,16,814,191,8,6,8,11,21,7,68289,52144,55019,93986,50846,61173,73806,57489,59597,100561,53049,69776,Коваленко Валентин Павлович,380333896416,valentin.kovalenko@your.mail.com,Nova,Львів,908,2
Kharkiv5,1726639009481,6,265,728,162,70,628,888,19,20,20,7,12,16,52144,22478,58736,24368,44929,95448,58031,25551,64080,26219,48809,103597,Тимченко Остап Остапович,380440700084,ostap.timchenko@your.mail.com,Ukr,Івано-Франківськ,602,3
Kharkiv6,1726639437105,4,498,863,482,765,4,6,14,10,14943,44344,98984,15515,16102,48403,113079,17221,Тимчук Артур Вікторович,380363480647,artur.timchuk@your.mail.com,Nova,Рівне,53,4
Kharkiv2,1726639911644,3,630,588,265,14,5,13,75931,60394,52144,86897,62924,58313,Пономаренко Андрій Володимирович,380713185686,andrіj.ponomarenko@your.mail.com,Ukr,Одеса,792,5
Kharkiv6,1726640362786,5,945,612,781,920,253,3,11,16,23,20,60190,54611,61605,68511,72001,67134,59013,65054,70677,82687,Супрун Мирослав Анатолійович,380209407062,miroslav.suprun@your.mail.com,Nova,Херсон,83,6
Kharkiv3,1726640767855,5,479,47,735,329,360,10,19,15,25,13,82218,71993,20837,53492,50862,88485,77111,23439,58409,56826,Лисенко Іван Валерійович,380231695131,іvan.lisenko@your.mail.com,Самовивіз,Харків,852,7
Kharkiv3,1726641200628,6,25,753,195,527,463,170,7,13,6,9,21,22,27252,69627,89651,12590,12816,55473,30141,72997,97557,13023,14172,59426,Гончаренко Станіслав Семенович,380932512187,stanіslav.goncharenko@your.mail.com,Nova,Черкаси,618,8
Kharkiv1,1726641649785,4,159,250,77,218,21,8,2,7,72108,97955,91010,45530,77281,106206,101580,49617,Федоренко Валерій Віталійович,380475309597,valerіj.fedorenko@your.mail.com,Самовивіз,Київ,361,9
Kharkiv4,1726642147658,4,788,270,521,541,18,7,13,14,66929,54119,88381,15719,73932,59965,96988,17896,Голуб Олександр Станіславович,380240751120,oleksandr.golub@your.mail.com,Nova,Запоріжжя,774,10
Kharkiv1,1726642648257,3,185,645,49,9,6,16,69828,79568,93766,80238,84727,104854,Гончаренко Тарас Анатолійович,380334583097,taras.goncharenko@your.mail.com,Nova,Суми,792,11
Kharkiv2,1726643134230,5,74,727,236,228,701,17,15,20,24,9,49644,54852,83688,83157,42464,51930,56662,94221,88686,48396,Солдатенко Віктор Тимурович,380550610926,vіktor.soldatenko@your.mail.com,Nova,Черкаси,75,12
Kharkiv1,1726643727231,1,165,4,70966,74540,Шевченко Євген Федорович,380608280279,єvgen.shevchenko@your.mail.com,Nova,Вінниця,572,13
Kharkiv5,1726644143474,1,419,17,94460,102666,Грищенко Віктор Олексійович,380784975399,vіktor.grischenko@your.mail.com,Ukr,Чернігів,143,14
Kharkiv5,1726644732339,3,918,63,553,7,10,14,18442,36515,87504,19158,39654,96490,Савчук Микола Денисович,380122152260,mikola.savchuk@your.mail.com,Nova,Харків,588,15
Kharkiv4,1726645292943,1,152,1,16096,16926,Гончаренко Тарас Анатолійович,380334583097,taras.goncharenko@your.mail.com,Nova,Суми,792,16
Kharkiv2,1726645786741,2,123,414,2,17,59194,12932,67965,14559,Кравченко Валерій Миколайович,380845616284,valerіj.kravchenko@your.mail.com,Ukr,Житомир,340,17
Kharkiv2,1726646319429,7,8,917,823,340,473,205,171,11,17,12,8,25,22,5,83370,66149,77811,35995,80688,62757,76282,87230,75087,87978,41193,91207,65582,79647,Тимченко Денис Григорійович,380850816988,denis.timchenko@your.mail.com,Ukr,Луганськ,33,18
Kharkiv6,1726646899122,5,427,590,853,244,15,9,23,22,20,22,54361,45514,45928,60393,68544,56439,50432,50492,62862,78128,Буряк Максим Григорійович,380239963053,maksim.burjak@your.mail.com,Ukr,Миколаїв,112,19
Kharkiv5,1726647430188,7,646,77,754,486,647,273,805,1,4,7,11,1,2,14,82282,91010,86514,75334,99395,84467,55924,88937,100799,92050,86426,108365,93212,64232,Кравченко Тарас Романович,380443234153,taras.kravchenko@your.mail.com,Nova,Рівне,873,20
Kharkiv1,1726648029290,6,599,695,146,267,435,343,10,16,17,5,15,5,24769,13239,15147,40502,77522,36065,25827,13885,17306,46255,87235,38241,Супрун Мирослав Вікторович,380399219481,miroslav.suprun@your.mail.com,Nova,Чернігів,942,21
Kharkiv4,1726648570006,4,815,649,376,675,5,14,21,9,20946,37974,31229,38360,23539,40401,35154,43020,Костюк Ігор Романович,380562364532,іgor.kostjuk@your.mail.com,Самовивіз,Рівне,56,22
Kharkiv2,1726648995682,2,483,531,12,21,64121,64286,71568,73409,Тимченко Євген Олексійович,380584352938,єvgen.timchenko@your.mail.com,Nova,Вінниця,711,23
